source,scheme_id,title,summary,ministry,categories,beneficiary_state,tags,official_links,document_links,contact_numbers,contact_emails,office_addresses,how_to_apply,eligibility,required_documents,faqs
india.gov.in,ky,Krishi Yantra,"In the Krishi Yantra scheme, the farmer purchases farming-related equipment from an authorized dealer, then the state government gives a subsidy to the farmers.",,"Agriculture,Rural & Environment",,Farming; Farmer; Equipment; Development,https://www.india.gov.in/my-government/schemes/search?keyword=Krishi%20Yantra,,,,,,,,
india.gov.in,fseg,Farmer Suicide Ex-Gratia,"""Farmer Suicide Ex-Gratia"" is a Financial Assistance Scheme by the Agriculture & Cooperation Dept. of the Govt. of Andhra Pradesh. The scheme provides financial assistance of ₹ 7,00,000 to the family members of the deceased farmers/tenant farmers, who commit suicide due to agrarian reasons.",,Social welfare & Empowerment,,Suicide; Farmer; Financial Assistance,https://www.india.gov.in/my-government/schemes/search?keyword=Farmer%20Suicide%20Ex-Gratia,,,,,,,,
india.gov.in,pccengaes,"""Protected Cultivation"" Component of ""Establishment of New Gardens (Area Expansion)"" Scheme","Through this scheme, the farmers are provided Poly House, Shade Net House (Tubular Structure), Plastic Mulching at subsidised rates for practising Protected Cultivation. In Puducherry, this scheme is implemented by the Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry.",,"Agriculture,Rural & Environment",,Cultivation; Farmer; Subsidy; Garden; Horticulture,https://www.india.gov.in/my-government/schemes/search?keyword=%22Protected%20Cultivation%22%20Component%20of%20%22Establishment%20of%20New%20Gardens%20%28Area%20Expansion%29%22%20Scheme,,,,,,,,
india.gov.in,ksas,Kharmore Sonchidia Award Scheme,"In the scheme ""Kharmore Sonchidia Award"" by the Forest Department, Government of Madhya Pradesh, the farmers are rewarded with ₹5,000/- if a Kharmor bird is sighted in the private land of the farmer and ₹10,000/- if a Golden bird is sighted in the private land of the farmer.",,"Agriculture,Rural & Environment",,Award; Bird; Farmer; Financial Assistance,https://www.india.gov.in/my-government/schemes/search?keyword=Kharmore%20Sonchidia%20Award%20Scheme,,,,,,,,
india.gov.in,cwsdi,Construction of Water Storage Tanks for Drip Irrigation,"The scheme provides financial assistance to farmers across Gujarat for constructing water storage tanks to support drip irrigation, with cost-sharing benefits based on farmer category.",,"Agriculture,Rural & Environment",,Agriculture; Drip Irrigation; Farmer; Water Tank,https://www.india.gov.in/my-government/schemes/search?keyword=Construction%20of%20Water%20Storage%20Tanks%20for%20Drip%20Irrigation,,,,,,,,
india.gov.in,scfc-cpt,"""Subsidy for Cultivation of Fodder Crops"" Component of the ""Crop Production Technology"" Scheme","The ""Subsidy for Cultivation of Fodder Crops"" scheme was introduced by the Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry. Through this scheme, cash incentives are distributed to Farmers and Self Help Groups for undertaking fodder cultivation in the Puducherry region.",,"Agriculture,Rural & Environment",,Subsidy; Cultivation; Fodder; Farmer; Agriculture,https://www.india.gov.in/my-government/schemes/search?keyword=%22Subsidy%20for%20Cultivation%20of%20Fodder%20Crops%22%20Component%20of%20the%20%22Crop%20Production%20Technology%22%20Scheme,,,,,,,,
india.gov.in,apfpf,Assistance Program for Planting in Floriculture,"The scheme offers financial assistance to farmers in Gujarat for the cultivation of floriculture crops, including loose, cut, and tuberous flowers, based on crop type and farmer category.",,"Agriculture,Rural & Environment",,Floriculture; Flower Farming; Subsidy,https://www.india.gov.in/my-government/schemes/search?keyword=Assistance%20Program%20for%20Planting%20in%20Floriculture,,,,,,,,
india.gov.in,snpsscpts,"""Sugarcane Nursery Premium"" Sub-Scheme of the ""Crop Production Technology"" Scheme","The ""Sugarcane Nursery Premium"" Sub-Scheme of the ""Crop Production Technology"" Scheme is introduced by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. Through this scheme, the farmers are provided Nursery Premium for Raising Seed Material to Plant One Hectare of Sugarcane.",,"Agriculture,Rural & Environment",,Sugarcane; Nursery; Seed; Financial Assistance; Farmer,https://www.india.gov.in/my-government/schemes/search?keyword=%22Sugarcane%20Nursery%20Premium%22%20Sub-Scheme%20of%20the%20%22Crop%20Production%20Technology%22%20Scheme,,,,,,,,
india.gov.in,ipmdct,Integrated Pest Management Demonstration Cum Training,The “Integrated Pest Management Demonstration Cum Training” scheme provides financial assistance for 30 farmers to conduct pest management demonstrations and training using a cluster approach in Farmer Field Schools.,,"Agriculture,Rural & Environment",,Agriculture; Farmer; Integrated Pest Management; Training,https://www.india.gov.in/my-government/schemes/search?keyword=Integrated%20Pest%20Management%20Demonstration%20Cum%20Training,,,,,,,,
india.gov.in,cmmfi,Chief Minister's Micro Finance Initiative,"The scheme aims to promote access to credit for economic activities undertaken by individual farmers, entrepreneurs, Self-Help Groups (SHGs), and Farmer Producer Organizations (FPOs) in the state of Nagaland.",,"Banking,Financial Services and Insurance",,Micro Finance; Subsidy; Farmer; Entrepreneurs; Self-Help Groups; And Farmer Producer Organizations,https://www.india.gov.in/my-government/schemes/search?keyword=Chief%20Minister%27s%20Micro%20Finance%20Initiative,,,,,,,,
india.gov.in,beispgccpts,"""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme","""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme was introduced by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. The paddy farmers residing in the Yanam region are provided a back-ended investment subsidy at ₹4,000/- per hectare.",,"Agriculture,Rural & Environment",,Paddy; Subsidy; Financial Assistance; Farmer; Agriculture,https://www.india.gov.in/my-government/schemes/search?keyword=%22Back%20Ended%20Investment%20Subsidy%20to%20Paddy%20Growers%22%20component%20of%20the%20%22Crop%20Production%20Technology%22%20scheme,,,,,,,,
india.gov.in,pm-kisan,Pradhan Mantri Kisan Samman Nidhi,Farmer welfare scheme by Ministry of Agriculture and Farmers Welfare to provide income support to all landholding farmers' families in the country to supplement their financial needs for procuring various inputs related to agriculture and allied activities as well as domestic needs.,Ministry Of Agriculture and Farmers Welfare,"Agriculture,Rural & Environment; Social welfare & Empowerment",,Farmers; Income Support; Agricultural Inputs; Kisan; Agriculture,https://www.india.gov.in/my-government/schemes/search?keyword=Pradhan%20Mantri%20Kisan%20Samman%20Nidhi,,,,,,,,
india.gov.in,spafsg,Scheme to Provide Assistance for Setting Up Farmer Support Centers in State Market Committees and for Computerization of All Market Committees,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to establish farmer support centers at market committee levels and computerize all market committees in Gujarat.",,"Agriculture,Rural & Environment",,Agriculture; Farmer Support Centers; Computerization; Market Committees,https://www.india.gov.in/my-government/schemes/search?keyword=Scheme%20to%20Provide%20Assistance%20for%20Setting%20Up%20Farmer%20Support%20Centers%20in%20State%20Market%20Committees%20and%20for%20Computerization%20of%20All%20Market%20Committees,,,,,,,,
india.gov.in,pm,Plastic Mulching,"Under the Plastic Mulching scheme, the Rajasthan government provided subsidies to farmers. In this, the soil surface of the field is covered with plastic film. Farmer can also use crop residues for laying mulch.",,"Agriculture,Rural & Environment",,Farmer; Plastic Mulching; Farming; Agriculture,https://www.india.gov.in/my-government/schemes/search?keyword=Plastic%20Mulching,,,,,,,,
india.gov.in,kkt,Kantedar Tarbandi Yojana,A initiative of Rajasthan State for the farmer to protect crops from damage caused by Nilgai and stray animals. Financial assistance will be provided to the farmers by the Rajasthan government for fencing their fields.,,"Agriculture,Rural & Environment",,Farming; Financial Benefits; Taarabandi,https://www.india.gov.in/my-government/schemes/search?keyword=Kantedar%20Tarbandi%20Yojana,,,,,,,,
india.gov.in,fig,Farmers Interest Group (FIG),"The “Farmers Interest Group (FIG)” scheme supports every group of 15 farmers with grants for agricultural development. The scheme offers assistance for office equipment, training, ID cards, and district-level meetings.",,"Agriculture,Rural & Environment",,Agriculture; Farmer; Farmers Interest Group; FIG,https://www.india.gov.in/my-government/schemes/search?keyword=Farmers%20Interest%20Group%20%28FIG%29,,,,,,,,
india.gov.in,atesgephmgchrt2,"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for General Category (HRT-2)","Under the scheme, financial assistance is provided to farmers belonging to the General Category as well as to farmer groups and cooperative societies for purchasing various tools, equipment, sorting/grading equipment, and Post-Harvest Management (PHM) equipment.",,"Agriculture,Rural & Environment",,Tools; Shorting Equipment; General Category; HRT-2; Farmer; Financial Assistance; Post-Harvest Management; Farmer Group; Cooperative Society,https://www.india.gov.in/my-government/schemes/search?keyword=Assistance%20for%20Tools%2C%20Equipment%2C%20Shorting/Grading%20Equipment%2C%20PHM%20Equipment%20for%20General%20Category%20%28HRT-2%29,,,,,,,,
india.gov.in,smamchcbfuk,Sub-Mission on Agricultural Mechanization (SMAM) for Custom Hiring Centres / Big Farmers - Uttarakhand,"Under this scheme, individual large farmers, farmer groups, cooperatives, self-help groups, and custom hiring centres in the state can purchase agricultural equipment at a subsidized rate, with the Government of India providing a maximum subsidy of 40%.",,"Agriculture,Rural & Environment",,Farmer; Agricultural; Mechanization; Subsidy; Custom Hiring Centre; Self-help Group,https://www.india.gov.in/my-government/schemes/search?keyword=Sub-Mission%20on%20Agricultural%20Mechanization%20%28SMAM%29%20for%20Custom%20Hiring%20Centres%20/%20Big%20Farmers%20-%20Uttarakhand,,,,,,,,
india.gov.in,atesgephmesthrt3,"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for Scheduled Tribes (HRT-3)","Under the scheme, financial assistance is provided to farmers belonging to the Scheduled Tribes category as well as to farmer groups and cooperative societies for purchasing various tools, equipment, sorting/grading equipment, and Post-Harvest Management (PHM) equipment.",,"Agriculture,Rural & Environment",,Tools; Equipment; Scheduled Tribe; HRT-3; Financial Assistance; Farmer; Farmer Group; Cooperative Society,https://www.india.gov.in/my-government/schemes/search?keyword=Assistance%20for%20Tools%2C%20Equipment%2C%20Shorting/Grading%20Equipment%2C%20PHM%20Equipment%20for%20Scheduled%20Tribes%20%28HRT-3%29,,,,,,,,
india.gov.in,atesgephmschrt4,"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for Scheduled Castes (HRT-4)","Under the scheme, financial assistance is provided to farmers belonging to the Scheduled Castes category as well as to farmer groups and cooperative societies for purchasing various tools, equipment, sorting/grading equipment, and Post-Harvest Management (PHM) equipment.",,"Agriculture,Rural & Environment",,Tools; Equipment; Scheduled Caste; HRT-4; Farmer; Financial Assistance; Post-Harvest Management; Farmer Group; Cooperative Society; Horticulture,https://www.india.gov.in/my-government/schemes/search?keyword=Assistance%20for%20Tools%2C%20Equipment%2C%20Shorting/Grading%20Equipment%2C%20PHM%20Equipment%20for%20Scheduled%20Castes%20%28HRT-4%29,,,,,,,,
india.gov.in,dtu-cmsguy,Distribution Of Tractor Unit Under CMSGUY,"The ""Distribution of Tractor Unit"" scheme is meant to revive the agricultural sector and help in doubling the farmer’s income by 2022. The government will provide one tractor along with some necessary accessories in each revenue village at subsidized rates. 10,000+ tractors will be distributed.",,"Agriculture,Rural & Environment",,Subsidy; Agriculture; Farming,https://www.india.gov.in/my-government/schemes/search?keyword=Distribution%20Of%20Tractor%20Unit%20Under%20CMSGUY,,,,,,,,
india.gov.in,ksych,Kisan Samriddhi Yojana - Chhattisgarh,"Chhattisgarh State Government started a scheme ""Kisan Samriddhi Yojana"" for farmer.",,"Agriculture,Rural & Environment",,Financial Assistance; Farmers; Agriculture; Pump Installation,https://www.india.gov.in/my-government/schemes/search?keyword=Kisan%20Samriddhi%20Yojana%20-%20Chhattisgarh,,,,,,,,
india.gov.in,anpyap,Atma Nirbhar Plantation Yojana,"The scheme aims to promote self-reliance in the agriculture sector through sustainable plantation activities across the state. Under this scheme, support in the form of plantation assistance and allied resources is provided to individual farmers, Self-Help Groups & Farmer Producer Organizations.",,"Agriculture,Rural & Environment; Banking,Financial Services and Insurance",,Subsidy; Farmer; SHGs; FPO; Loan; Plantation,https://www.india.gov.in/my-government/schemes/search?keyword=Atma%20Nirbhar%20Plantation%20Yojana,,,,,,,,
india.gov.in,pm-kusum,Pradhan Mantri Kisan Urja Suraksha Evam Utthan Mahabhiyan Scheme For Farmers.,"Pradhan Mantri Kisan Urja Surakshaevam Utthaan Mahabhiyan Yojana (PM-KUSUM Scheme) was launched in March 2019 by the Ministry of New and Renewable Energy (MNRE), to subsidize farmers to install solar irrigation pumps for cultivation. Each farmer will receive a 60% subsidy.",Ministry Of New and Renewable Energy,Utility & Sanitation; Transport & Infrastructure,,Solar; Farmer; Infrastructure; Utility,https://www.india.gov.in/my-government/schemes/search?keyword=Pradhan%20Mantri%20Kisan%20Urja%20Suraksha%20Evam%20Utthan%20Mahabhiyan%20Scheme%20For%20Farmers.,,,,,,,,
india.gov.in,cmksy,Chief Minister’s Krishi Samuh Yojana,The Govt. of Arunachal Pradesh started the scheme “Chief Minister’s Krishi Samuh Yojana (CMKSY)” to empower the farmers through a cooperative approach by Institutionalisation of Farmers’ Producers’ Organisation and infusing timely support of good agriculture practices and marketing interventions.,,"Agriculture,Rural & Environment",,Farmer; Farmers Producer’s Organization; Agriculture; Financial Assistance,https://www.india.gov.in/my-government/schemes/search?keyword=Chief%20Minister%E2%80%99s%20Krishi%20Samuh%20Yojana,,,,,,,,
india.gov.in,namo-shetkari-mahasanman-nidhi-yojana,Namo Shetkari Mahasanman Nidhi Yojana,"To increase the income of farmers, State government has announced ""Namo Shetkari Mahasanman Nidhi Yojana"" in which cultivable land holding farmer families of the state will get an additional amount of Rs. 6000/- per year (along with Rs. 6000/- through Pradhan Mantri Kisan Samman Nidhi Yojana",,"Agriculture,Rural & Environment",,PM KISAN TOP UP; Direct Benefit Transfer; Agriculture Land Holder; Family Scheme,https://www.india.gov.in/my-government/schemes/search?keyword=Namo%20Shetkari%20Mahasanman%20Nidhi%20Yojana,,,,,,,,
india.gov.in,wfafcp,Wire Fencing Around the Farm for Crop Protection,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to protect farmers' crops from damage caused by wild and stray animals by providing financial assistance for wire fencing around farms.",,"Agriculture,Rural & Environment",,Agriculture; Farmer; Farmers Group; Crop Protection; Wire Fencing,https://www.india.gov.in/my-government/schemes/search?keyword=Wire%20Fencing%20Around%20the%20Farm%20for%20Crop%20Protection,,,,,,,,
india.gov.in,ft,Farmers Training,The “Farmers Training” scheme provides financial assistance for training sessions involving up to 50 farmers or agricultural laborers per cluster.,,"Agriculture,Rural & Environment",,Agriculture; Farmer; Training,https://www.india.gov.in/my-government/schemes/search?keyword=Farmers%20Training,,,,,,,,
india.gov.in,pfphmva,Promoting to Farmer for Post Harvesting & Management (Value Addition),"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to support farmers in setting up crop value addition units using post-harvesting technology and management concepts.",,"Agriculture,Rural & Environment",,Agriculture; Farmer; Post Harvesting Technology,https://www.india.gov.in/my-government/schemes/search?keyword=Promoting%20to%20Farmer%20for%20Post%20Harvesting%20%26%20Management%20%28Value%20Addition%29,,,,,,,,
india.gov.in,marvs,Meghalaya Agriculture Response Vehicle Scheme,"The scheme “Meghalaya Agriculture Response Vehicle Scheme” was launched by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya to provide Small Commercial Vehicles and pickups at each CD Block across Meghalaya with 50% financial aid from the Government of Meghalaya.",,"Agriculture,Rural & Environment",,Agriculture; Response Vehicle; Farmer; Financial Aid; Farmers Associations; Entrepreneur,https://www.india.gov.in/my-government/schemes/search?keyword=Meghalaya%20Agriculture%20Response%20Vehicle%20Scheme,,,,,,,,
india.gov.in,ttf,Training to Farmers,"The scheme “Training to Farmers” provides training to maize farmers across various districts, aiming to enhance farming practices and increase productivity.",,"Agriculture,Rural & Environment",,Agriculture; Farmer; Maize; Training,https://www.india.gov.in/my-government/schemes/search?keyword=Training%20to%20Farmers,,,,,,,,
india.gov.in,dvsmfmfc,Distribution of Vegetable Seeds Minikit & Fruits Minikit at Free of Cost,"“Distribution of Vegetable Seeds Minikit & Fruits Minikit at Free of Cost"" was launched by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. All the horticulture growers of rural & urban areas are provided with vegetable seeds minikit & fruits minikit worth ₹250/‐ free of cost.",,"Agriculture,Rural & Environment",,Seed; Crop; Farmer; Fruit; Vegetable,https://www.india.gov.in/my-government/schemes/search?keyword=Distribution%20of%20Vegetable%20Seeds%20Minikit%20%26%20Fruits%20Minikit%20at%20Free%20of%20Cost,,,,,,,,
india.gov.in,chief-minister-sustainable-agriculture-irrigation-scheme,Chief Minister Sustainable Agriculture Irrigation Scheme - Magel Tyala Shettale (Individual Farm Pond),Under this scheme subsidy payable to individual farmer is minimum Rs.14433/- and maximum Rs.75000/- depending on the size of the farm pond.,,"Agriculture,Rural & Environment",,MahaDBT; Individual Farm Pond; Magel Tyala Shettale; Chatrapati Shivaji Maharaj Krishi Yojana,https://www.india.gov.in/my-government/schemes/search?keyword=Chief%20Minister%20Sustainable%20Agriculture%20Irrigation%20Scheme%20-%20Magel%20Tyala%20Shettale%20%28Individual%20Farm%20Pond%29,,,,,,,,
india.gov.in,anky,Atma Nirbhar Krishi Yojana,Atma Nirbhar Krishi Yojana (ANKY) is a scheme launched by the Arunachal Pradesh government to boost the agriculture sector. It provides financial assistance to farmers for various agricultural activities,,"Agriculture,Rural & Environment",,Sustainability; Empowerment; Farmers,https://www.india.gov.in/my-government/schemes/search?keyword=Atma%20Nirbhar%20Krishi%20Yojana,,,,,,,,
india.gov.in,asdtpwff,Agricultural Skill Development Training Programme For Women Farmers And Farmers,"The scheme “Agricultural Skill Development Training Programme for Women Farmers and Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",,"Agriculture,Rural & Environment",,Agriculture; Farmer; Women; Training; Skill Development; Youth,https://www.india.gov.in/my-government/schemes/search?keyword=Agricultural%20Skill%20Development%20Training%20Programme%20For%20Women%20Farmers%20And%20Farmers,,,,,,,,
india.gov.in,dspvhfafefcguj,Distribution of Seeds of more productions varieties/ Hybrids varieties Seeds and fertilizer at subsidies etc. to Adivasi farmers in Tribal Area: Agricultural Fair/Exhibition/Farmer Camp Gujarat,"The scheme aims to improve the agricultural productivity and the livelihood of Adivasi farmers. It provides hybrid seeds, fertilizers, equipment, and support for agricultural fairs.",,"Agriculture,Rural & Environment",,Adivasi Farmers; Crop Production; Farmer Camp; Seeds; Fertilizer; Exhibition; Agricultural Fair,https://www.india.gov.in/my-government/schemes/search?keyword=Distribution%20of%20Seeds%20of%20more%20productions%20varieties/%20Hybrids%20varieties%20Seeds%20and%20fertilizer%20at%20subsidies%20etc.%20to%20Adivasi%20farmers%20in%20Tribal%20Area%3A%20Agricultural%20Fair/Exhibition/Farmer%20Camp%20Gujarat,,,,,,,,
india.gov.in,ftis,Farmers Training Institute Scheme,The objective of the scheme is to provide training to farmers at the village level on updated and innovative agriculture technology. The Training Institute facilitates exposure visits for farmers to agriculturally advanced states.,,"Agriculture,Rural & Environment",,Farmer; Training Institute; Training; Agriculture; Agriculture Technology,https://www.india.gov.in/my-government/schemes/search?keyword=Farmers%20Training%20Institute%20Scheme,,,,,,,,
india.gov.in,fais,Farmers Accidental Insurance Scheme,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to provide financial assistance to the families of registered farmers in the event of accidental death or disability.",,"Agriculture,Rural & Environment; Banking,Financial Services and Insurance",,Agriculture; Farmer; Accidental Insurance,https://www.india.gov.in/my-government/schemes/search?keyword=Farmers%20Accidental%20Insurance%20Scheme,,,,,,,,
india.gov.in,pmksy-hkkp,Pradhan Mantri Krishi Sinchayee Yojana - Har Khet Ko Pani (Surface Scheme) Uttarakhand,"The scheme aims to provide every farmer with reliable surface irrigation facilities by developing sustainable irrigation infrastructure, ensuring that every field receives adequate water to improve agricultural productivity.",,"Agriculture,Rural & Environment",,Farmer; Irrigation; Surface Irrigation; Agriculture,https://www.india.gov.in/my-government/schemes/search?keyword=Pradhan%20Mantri%20Krishi%20Sinchayee%20Yojana%20-%20Har%20Khet%20Ko%20Pani%20%28Surface%20Scheme%29%20Uttarakhand,,,,,,,,
india.gov.in,bhausaheb-fundkar-horticulture-plantataion-scheme,Bhausaheb Fundkar Falbag Lagvad Scheme,"This scheme includes, Plantation of sixteen perennial horticulture crops. Farmer from Konkan division can avail benefit of 0.10 Hector to 10.00 Hector and rest Of Maharashtra 0.20 Hector to 6.00 Hector",,"Agriculture,Rural & Environment",,Direct Benefit Transfer; Farmer; General; Horticulture; Plantation,https://www.india.gov.in/my-government/schemes/search?keyword=Bhausaheb%20Fundkar%20Falbag%20Lagvad%20Scheme,,,,,,,,
india.gov.in,ccdp,Crop Cluster Development Programme,"The CCDP aims to develop organized marketing and improve the livelihoods of horticulture farmers in Baagwani Villages through on-farm and marketing support, promoting sustainable agriculture-based livelihoods.",,"Agriculture,Rural & Environment",,Crop; Financial Assistance; Farmers,https://www.india.gov.in/my-government/schemes/search?keyword=Crop%20Cluster%20Development%20Programme,,,,,,,,
india.gov.in,gis,Gopal Incentive Scheme,"The ""Gopal Incentive Scheme"" by the Animal Husbandry Department, Government of Madhya Pradesh, promotes the rearing of Indian high-breed cattle and boosts milk production, benefiting animal breeders and livestock farmers with access to Indian advanced breed cows.",,"Agriculture,Rural & Environment",,Cows; Animal; Awards; Farmers,https://www.india.gov.in/my-government/schemes/search?keyword=Gopal%20Incentive%20Scheme,,,,,,,,
india.gov.in,skjy,Sardar Krushi Jyoti Yojana,"The scheme improves power supply for farmers by replacing old wires and equipment and upgrading agricultural feeders for uninterrupted service, which is crucial for irrigation.",,"Utility & Sanitation; Agriculture,Rural & Environment",,Electricity; Agricultural; Farmers; Consumers,https://www.india.gov.in/my-government/schemes/search?keyword=Sardar%20Krushi%20Jyoti%20Yojana,,,,,,,,
india.gov.in,cmsmfops,Chief Minister Small and Marginal Farmers Older Pension Scheme,"The ""Chief Minister Small and Marginal Farmers Older Pension Scheme"" by the Department of Social Justice and Empowerment, Government of Rajasthan, aims to provide financial assistance to elderly small and marginal farmers.",,"Social welfare & Empowerment; Agriculture,Rural & Environment",,Pension; Farmers; Old Age,https://www.india.gov.in/my-government/schemes/search?keyword=Chief%20Minister%20Small%20and%20Marginal%20Farmers%20Older%20Pension%20Scheme,,,,,,,,
